
U	S2846755	2F/12F	1,380萬元	1,380萬元	11年	3房2廳	35.12坪	35.12坪	35.12坪	新北市新莊區-中平路	浪漫歐洲村臻愛法國勳章邊間3房車	Sat Apr 02 12:12:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2846755	=HYPERLINK(N2)	
U	S2912484	頂樓加蓋/12F	1,188萬元	1,188萬元	20年	3房2廳	38.23坪	38.23坪	38.23坪	新北市樹林區-俊英街	景觀正三房遠挑101歡迎搶購只有一間	Sat Apr 02 12:06:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2912484	=HYPERLINK(N3)	
N	S2982123	4F/14F	977萬元	977萬元	1個月	2房1廳	23.8坪	23.8坪	23.8坪	新北市板橋區-信義路	屋主缺錢了~板橋區信義路全新2房	Sat Apr 02 15:36:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2982123	=HYPERLINK(N4)	
U	S2982196	4F/13F	1,780萬元	1,780萬元	2年	2房2廳	48.34坪	48.34坪	48.34坪	新北市林口區-文化二路一段	A9捷運三井outlet峰景風情2房車	Sat Apr 02 12:12:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2982196	=HYPERLINK(N5)	
U	S3000958	12F/12F	1,368萬元	1,368萬元	19年	3房2廳	42.28坪	42.28坪	42.28坪	新北市蘆洲區-集賢路	(獨家專任)集賢電梯三房車~低於實價登錄	Sat Apr 02 12:06:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3000958	=HYPERLINK(N6)	
U	S3019370	4F/5F	1,288萬元	1,288萬元	9年	3房2廳	33.29坪	33.29坪	33.29坪	新北市蘆洲區-長安街	蘆洲佳瑪獨立一層一戶電梯洋房	Sat Apr 02 12:12:01 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3019370	=HYPERLINK(N7)	
U	S2982788	2F/4F	835萬元	835萬元	40年	3房2廳	22.75坪	22.75坪	22.75坪	安靜的公寓 新北市永和區-保福路二段	永平高中學區國立大學升學率高，使用30坪	Sat Apr 02 12:06:41 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2982788	=HYPERLINK(N8)	
U	S2969533	3F/5F	1,050萬元	1,050萬元	35年	3房2廳	23.1坪	23.1坪	23.1坪	房仲拜託您,請勿打擾 新北市永和區-秀朗路二段	鄰福和國中-全新裝潢永和秀朗邊間3房公寓	Sat Apr 02 12:06:42 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2969533	=HYPERLINK(N9)	
U	S2924785	5F/5F	1,190萬元	1,190萬元	35年	3房2廳	31.45坪	31.45坪	31.45坪	新北市永和區-民權路	秀朗學區，近愛買，頂好商圈。	Sat Apr 02 12:06:43 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2924785	=HYPERLINK(N10)	
U	S2993840	4F/11F	1,125萬元	1,125萬元	30年	2房2廳	17.15坪	17.15坪	17.15坪	新北市永和區-中正路	【斡wow~就這間】頂溪捷運小資家B	Sat Apr 02 12:07:14 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2993840	=HYPERLINK(N11)	
U	S3001753	2F/5F	1,168萬元	1,168萬元	43年	3房2廳	23.36坪	23.36坪	23.36坪	頂溪 新北市永和區-文化路	低總價3房美寓~近頂溪捷運~~全業房屋	Sat Apr 02 12:13:16 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3001753	=HYPERLINK(N12)	
