
N	S2846755	2F/12F	1,380萬元	1,380萬元	11年	3房2廳	35.12坪	35.12坪	35.12坪	新北市新莊區-中平路	浪漫歐洲村臻愛法國勳章邊間3房車	Wed Mar 30 15:24:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2846755	=HYPERLINK(N2)	
U	S2912484	頂樓加蓋/12F	1,188萬元	1,188萬元	20年	3房2廳	38.23坪	38.23坪	38.23坪	新北市樹林區-俊英街	景觀正三房遠挑101歡迎搶購只有一間	Wed Mar 30 15:24:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2912484	=HYPERLINK(N3)	
U	S2971247	10F/14F	3,980萬元	3,980萬元	5年	4房2廳	102.33坪	102.33坪	102.33坪	新北市三重區-進安街	國泰一品-全新空屋	Wed Mar 30 15:24:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2971247	=HYPERLINK(N4)	
U	S2982196	4F/13F	1,780萬元	1,780萬元	2年	2房2廳	48.34坪	48.34坪	48.34坪	新北市林口區-文化二路一段	A9捷運三井outlet峰景風情2房車	Wed Mar 30 15:24:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2982196	=HYPERLINK(N5)	
N	S3000958	12F/12F	1,368萬元	1,368萬元	19年	3房2廳	42.28坪	42.28坪	42.28坪	新北市蘆洲區-集賢路	(獨家專任)集賢電梯三房車~低於實價登錄	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3000958	=HYPERLINK(N6)	
U	S2993840	4F/11F	1,125萬元	1,125萬元	30年	2房2廳	17.15坪	17.15坪	17.15坪	新北市永和區-中正路	【斡wow~就這間】頂溪捷運小資家B	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2993840	=HYPERLINK(N7)	
U	S3038598	4F/11F	1,125萬元	1,125萬元	29年	2房1廳	17.15坪	17.15坪	17.15坪	新北市永和區-中正路	頂溪極品電梯2房	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038598	=HYPERLINK(N8)	
U	S2987167	17F/21F	938萬元	938萬元	18年	2房2廳	20.49坪	20.49坪	20.49坪	長隄 新北市永和區-環河西路二段	永和長隄景觀宅~屋況好~全區最低價~	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2987167	=HYPERLINK(N9)	
U	S3038577	1F/6F	898萬元	898萬元	38年	3房2廳	20.33坪	20.33坪	20.33坪	新北市永和區-竹林路	頂溪新婚首購最愛~輕鬆購1+2樓免整理	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038577	=HYPERLINK(N10)	
U	S2808131	頂樓加蓋/4F	960萬元	960萬元	44年	3房2廳	21.4坪	21.4坪	21.4坪	新北市永和區-民治街	民治優質採光佳、頂加大坪數生活機能佳	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2808131	=HYPERLINK(N11)	
U	S2983242	7F/18F	1,080萬元	1,080萬元	18年	2房2廳	22.8坪	22.8坪	22.8坪	長隄 新北市永和區-環河西路二段	永和精美兩房	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2983242	=HYPERLINK(N12)	
U	S2939088	6F/6F	920萬元	920萬元	7年	2房1廳	18.75坪	18.75坪	18.75坪	CATCH 敦南 新北市永和區-永利路	C045福和國中敦南挑高小資宅	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2939088	=HYPERLINK(N13)	
U	S2921951	3F/21F	1,080萬元	1,080萬元	17年	2房2廳	22.8坪	22.8坪	22.8坪	長隄 新北市永和區-環河西路二段	仁愛公園小家庭電梯2房	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2921951	=HYPERLINK(N14)	
U	S2985107	9F/11F	1,168萬元	1,168萬元	23年	1房1廳	19.42坪	19.42坪	19.42坪	中正翡翠 新北市永和區-中正路	《頂溪商圈超低總價》新婚首選超美2房	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2985107	=HYPERLINK(N15)	
U	S3021650	1F/4F	880萬元	880萬元	43年	3房1廳	11.6坪	11.6坪	11.6坪	新北市永和區-自強街	自強街1+2樓住辦	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3021650	=HYPERLINK(N16)	
U	S2980919	4F/4F	960萬元	960萬元	38年	2房2廳	23.43坪	23.43坪	23.43坪	新北市永和區-保安路	仁愛四房頂加	Wed Mar 30 15:24:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2980919	=HYPERLINK(N17)	
U	S3036999	6F/6F	988萬元	988萬元	27年	2房1廳	18.27坪	18.27坪	18.27坪	* 新北市永和區-竹林路	㊝物件有大陽台☆頂溪華廈明亮2房☆	Wed Mar 30 15:24:40 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3036999	=HYPERLINK(N18)	
